,user_id,movie_id,rating,unix_timestamp
0,195,241,3.0,881250949
1,185,301,3.0,891717742
2,21,376,1.0,878887116
3,243,50,2.0,880606923
4,165,345,1.0,886397596
5,297,473,4.0,884182806
6,114,264,2.0,881171488
7,252,464,5.0,891628467
8,304,450,3.0,886324817
9,5,85,3.0,883603013
10,61,256,2.0,879372434
11,285,1013,5.0,879781125
12,199,221,5.0,876042340
13,209,39,3.0,891035994
14,223,28,3.0,888104457
15,302,784,3.0,879485318
16,121,386,5.0,879270459
17,193,273,2.0,879539794
18,290,1041,4.0,874834944
19,233,1183,2.0,892079237
20,118,391,4.0,886176814
21,166,485,4.0,892738452
22,298,143,4.0,877881320
23,290,117,2.0,874833878
24,307,0,4.0,887736532
25,94,545,2.0,879196566
26,37,94,5.0,892430094
27,101,767,2.0,883748450
28,62,276,4.0,875747401
29,159,233,5.0,876861185
30,49,245,3.0,877052329
31,300,97,4.0,882075827
32,224,192,4.0,879539727
33,289,87,4.0,880731963
34,96,193,3.0,884238860
35,156,273,4.0,886890835
36,180,1080,1.0,878962623
37,277,602,5.0,891295330
38,275,795,1.0,874791932
39,6,31,4.0,891350932
40,9,15,4.0,877888877
41,283,303,4.0,885329322
42,200,978,2.0,884114233
43,275,563,3.0,874791805
44,286,326,5.0,875333916
45,245,200,5.0,884921594
46,241,1136,5.0,879741196
47,248,240,5.0,879641194
48,98,3,5.0,886519097
49,177,331,3.0,882823437
50,250,99,4.0,886271884
51,80,431,2.0,876535131
52,259,321,4.0,890618898
53,24,180,5.0,885853415
54,58,195,5.0,888205088
55,71,678,2.0,880037164
56,86,383,4.0,879877127
57,289,142,5.0,880474293
58,41,422,5.0,881107687
59,291,514,4.0,881103977
60,114,19,3.0,881171009
61,19,287,1.0,879667584
62,200,218,4.0,884112673
63,12,525,3.0,882141053
64,245,918,4.0,884920949
65,137,25,5.0,879024232
66,166,231,1.0,892738341
67,59,426,5.0,883326620
68,56,303,5.0,883698581
69,222,273,4.0,891550094
70,188,511,4.0,893277702
71,242,14,3.0,879987440
72,91,1048,1.0,890251826
73,245,415,3.0,884923047
74,193,164,4.0,879546723
75,240,689,2.0,887249482
76,177,247,4.0,882823954
77,253,1443,3.0,886475558
78,292,4,3.0,888906576
79,126,228,5.0,884364867
80,224,236,5.0,879539643
81,298,228,3.0,878192429
82,224,479,5.0,879540748
83,275,53,3.0,874791025
84,290,143,5.0,874835091
85,221,365,4.0,878183381
86,266,517,5.0,878971773
87,41,402,3.0,881108684
88,10,110,4.0,891903862
89,94,624,4.0,888954412
90,7,337,4.0,879361873
91,161,24,4.0,877635573
92,86,1015,4.0,879876194
93,278,153,5.0,875296291
94,144,274,2.0,885557505
95,118,1152,5.0,874781198
96,61,497,4.0,879373848
97,61,381,3.0,879375537
98,27,208,4.0,881961214
99,134,22,4.0,879857765
100,31,293,3.0,883709863
101,89,381,5.0,891383835
102,285,207,4.0,877531942
103,292,684,3.0,888905170
104,215,143,4.0,880234639
105,165,327,5.0,886397722
106,249,495,4.0,878090499
107,270,131,5.0,885848672
108,159,173,5.0,876860807
109,264,117,4.0,875320714
110,197,497,3.0,884207492
111,41,95,5.0,881107178
112,167,150,5.0,884288058
113,109,306,4.0,886987260
114,57,143,4.0,884304936
115,89,647,4.0,891384754
116,270,345,4.0,885844430
117,61,20,3.0,879373460
118,278,831,3.0,881375854
119,236,513,4.0,879376641
120,93,788,4.0,891720887
121,127,484,3.0,879966895
122,297,316,4.0,884182806
123,43,194,5.0,878347874
124,263,199,5.0,886122352
125,193,384,2.0,879524643
126,71,194,5.0,880037702
127,221,749,5.0,883815120
128,249,263,3.0,878089182
129,40,264,3.0,890687042
130,223,244,3.0,888082216
131,81,134,3.0,878769629
132,261,1146,4.0,879791710
133,292,470,3.0,888904884
134,215,657,3.0,880245029
135,249,139,3.0,878092059
136,58,22,5.0,888205300
137,285,378,5.0,877533771
138,243,814,4.0,880605185
139,6,478,4.0,891352010
140,173,367,1.0,886434402
141,86,273,4.0,879876734
142,193,1210,2.0,879551380
143,81,1133,2.0,884714402
144,12,835,2.0,882139746
145,12,271,4.0,884538403
146,243,755,2.0,880605157
147,304,426,5.0,886323090
148,94,786,2.0,888954930
149,42,13,2.0,883955745
150,298,954,4.0,889502823
151,56,418,3.0,883698454
152,83,404,3.0,883452363
153,268,503,4.0,891449922
154,298,110,3.0,877878184
155,193,465,4.0,879525876
156,159,134,4.0,876860807
157,98,267,3.0,885678247
158,9,485,4.0,877886846
159,258,116,4.0,874724988
160,84,426,3.0,879456350
161,302,918,4.0,879467295
162,212,272,5.0,878870987
163,120,513,3.0,891387947
164,89,97,5.0,891383204
165,48,558,2.0,888067405
166,41,793,3.0,881108425
167,154,322,2.0,879371261
168,67,116,4.0,876973939
169,171,176,4.0,875537965
170,18,3,4.0,885412840
171,267,230,4.0,875744136
172,4,1,3.0,875636053
173,304,116,2.0,886324028
174,43,293,4.0,883612356
175,42,136,4.0,875975656
176,278,1335,1.0,875298353
177,79,465,5.0,887401701
178,253,163,4.0,886472768
179,297,280,3.0,884183336
180,278,1239,1.0,892174404
181,65,297,4.0,883601324
182,17,442,3.0,880130193
183,267,1034,2.0,875542174
184,98,78,4.0,885680138
185,12,97,4.0,881515011
186,25,257,3.0,891347949
187,6,454,4.0,891353086
188,221,754,4.0,878183481
189,199,672,5.0,884128554
190,118,327,4.0,876923913
191,212,171,5.0,878955442
192,275,321,3.0,874786392
193,93,1216,3.0,891723086
194,129,378,4.0,875801662
195,37,327,4.0,892428688
196,159,718,3.0,876857977
197,292,1266,3.0,888906966
198,25,929,2.0,891385985
199,129,215,4.0,875216545
200,91,1078,3.0,886443455
201,255,451,4.0,882164999
202,0,60,4.0,878542420
203,71,47,4.0,880036718
204,55,754,3.0,892910207
205,12,359,4.0,882140926
206,14,404,2.0,879455957
207,91,76,3.0,875654637
208,206,475,2.0,884386343
209,291,173,5.0,881105481
